# RECORDING
5883,528290,-1.0048,0.0366,0.0454,-2.59,-38.22,6.30,27.36,84.17,306.36,146.71,-4.35,816.19
5884,528323,-0.9838,0.0600,0.1288,6.02,-36.19,2.45,23.44,82.79,302.22,148.52,-11.23,815.41
5885,528356,-0.9716,0.0102,0.2152,13.65,-25.90,0.56,20.29,81.78,298.61,148.15,-18.47,813.75
5886,528389,-0.9667,0.0395,0.2420,6.93,-10.29,0.70,19.16,81.22,297.25,147.43,-24.27,810.43
5887,528422,-1.0014,-0.0059,0.1366,-5.18,-1.33,6.09,17.96,81.29,296.25,146.70,-27.17,808.28
5888,528455,-1.0053,0.0371,0.1005,-1.61,-6.51,5.60,18.78,81.30,297.14,147.07,-28.98,803.99
5889,528488,-1.0063,0.0854,0.1005,1.40,-2.03,3.99,21.20,81.35,299.50,147.43,-30.43,803.79
5890,528521,-0.9760,0.0620,0.1703,-3.78,-0.63,5.04,21.81,81.00,300.25,148.52,-31.88,802.52
5891,528554,-0.9867,-0.0454,0.2347,4.13,1.68,0.56,20.32,80.94,298.65,148.88,-32.60,797.84
5892,528587,-1.0341,0.0176,0.0293,-3.92,-9.10,5.60,20.71,80.87,299.17,148.88,-33.69,793.75
5893,528620,-1.0204,0.0415,0.0815,-5.53,-18.69,7.84,20.90,80.48,299.54,148.52,-35.14,785.74
5894,528653,-1.0038,0.0708,0.1352,-1.26,-20.02,7.49,22.03,79.97,300.70,147.43,-38.76,770.91
5895,528686,-0.9984,0.0605,0.1274,3.78,-23.03,5.25,21.82,79.47,300.35,145.62,-42.38,754.03
5896,528719,-1.0077,0.0703,0.1308,5.53,-26.74,4.06,21.52,78.85,299.83,142.72,-43.11,739.77
5897,528752,-1.0028,0.0512,0.1674,10.15,-26.88,-0.98,19.29,78.30,297.26,139.10,-41.66,733.91
5898,528785,-0.9750,-0.0210,0.2430,29.68,-26.11,-6.79,16.50,77.48,293.46,135.48,-32.96,738.51
5899,528818,-0.9814,-0.0142,0.2606,59.85,-22.12,-9.17,14.94,76.76,289.90,134.03,-26.08,741.15
5900,528851,-1.3937,-0.0703,-0.2889,66.15,-4.76,-10.71,15.50,77.00,288.24,129.32,-16.30,742.80
5901,528884,-1.2678,-0.0239,-0.1596,44.94,7.07,-8.47,16.14,77.59,287.38,126.42,-13.04,742.80
5902,528917,-1.2005,-0.1108,-0.1942,-11.62,14.49,-4.69,15.50,78.39,287.12,124.25,-11.23,742.80
5903,528950,-0.9540,-0.1142,-0.2928,-17.99,28.63,1.68,16.42,79.59,288.67,123.89,-9.78,742.80
